trackName,artistName,genre
before I close my eyes,XXXTENTACION,emo rap
big talk,Marco Luka,
blind,ROLE MODEL,alt z
bloody friday,mioskii,
blue bird,Zachary Knowles,bedroom soul
bluebonnets,Austin George,dark r&b
broken parts,clide,singer-songwriter pop
brutal,Olivia Rodrigo,pop
butterfly,Sody,alt z
buzzkill,MOTHICA,alt z
can I call you back?,shy martin,alt z
can you hear me?,Munn,singer-songwriter pop
can't control her,heldclose,
candayapple (feat. Paul Wall & Riff Raff),blackbear,pop
candy,guccihighwaters,cloud rap
cardigan,Taylor Swift,pop
carpool,Zachary Knowles,bedroom soul
cerulean.,Gabriel Cavalcanti,lo-fi brasileiro
chance with you,mehro,gen z singer-songwriter
change,The Field Tapes,ambient guitar
change ur mind,Sarcastic Sounds,lo-fi chill
chateau,blackbear,pop
city,Zachary Knowles,bedroom soul
closer,Hinshi,lo-fi chill
clown (with Trevor Daniel),blackbear,pop
colorblind,Mokita,chill pop
comethru,Jeremy Zucker,alt z
companion,hi jude,lo-fi study
could you love me while i hate myself,Zeph,gen z singer-songwriter
courage,Ruel,alt z
cozy blanket,kairos,lo-fi sleep
crash,EDEN,indie poptimism
crazy,Zac Greer,
curve me,clide,singer-songwriter pop
dancing in the kitchen,LANY,la pop
dark times,Ben Platt,broadway
daylight,mj apanay,bedroom r&b
deadroses,blackbear,pop
dear me,,436678,4.0
death bed (coffee for your head),Powfu,sad lo-fi
december,Atlas in Motion,
deja vu,Olivia Rodrigo,pop
detest me,glaive,glitchcore
didya think,Arlie,modern rock
die first - sped up version,Nessa Barrett,social media pop
dirty laundry,blackbear,pop
dirty laundry - slowed,blackbear,pop
disappear,eli.,
distance,Long Shot Party,j-poprock
distance,Ruel,alt z
do re mi,blackbear,pop
do re mi - Good Intent Remix,blackbear,pop
do re mi - Rad Cat Remix,blackbear,pop
do re mi - Y2K Remix,blackbear,pop
don't cry,sadeyes,
don't wanna be too forward,luca.,
dooriyan,Zaeden,desi pop
double take,dhruv,nyc pop
down,Mokita,chill pop
dream girl,8percent,aesthetic rap
dreamin abt u,mj apanay,bedroom r&b
dreamy,Linearwave,anime lo-fi
drivers license,Olivia Rodrigo,pop
dropout,brakence,glitchcore
drugs,EDEN,indie poptimism
drunk,keshi,chill r&b
dumb dumb - sped up,mazie,modern indie pop
dwrcan,Bibio,ambient folk
dying together,Josh Golden,la pop
e.z. (feat. Machine Gun Kelly),blackbear,pop
edamame (feat. Rich Brian),bbno$,canadian hip hop
empty crown,YAS,
endlessly,bixby,bedroom r&b
erase me,Lizzy McAlpine,alt z
erase me (feat. Jacob Collier),Lizzy McAlpine,alt z
everything,John K,singer-songwriter pop
everything sucks,vaultboy,singer-songwriter pop
ex i never had,LANY,la pop
fall apart (with glaive),renforshort,alt z
falling again,middt,lo-fi brasileiro
falling down,Nohidea,
feel like shit,Tate McRae,alt z
feel something,Bea Miller,alt z
fine,Mike Shinoda,alternative hip hop
first order of business,Baby Keem,hip hop
fleabag,YUNGBLUD,british indie rock
flowers & sex,EMELINE,alt z
fly,lael,
fools (can't help falling in love) (feat. Sody),Foster,sad lo-fi
fools (can't help falling in love) (slowed down & reverb),Foster,sad lo-fi
for B.,Linearwave,anime lo-fi
fragment,sadeyes,emo rap
freaks but slowed, muffled echo,12014,
fuck, i'm lonely,726031,4.0
g2g ttyl (feat. THEY.),blackbear,pop
game over,Rnla,lo-fi chill
gentle snow,kairos,lo-fi sleep
get me high,Marco Luka,
gfy (with Machine Gun Kelly),blackbear,pop
ghost me,Camylio,gen z singer-songwriter
ghost town (ft. Sasha Alex Sloan),blackbear,pop
girls girls girls,FLETCHER,alt z
glass half empty,dempsey hope,modern indie pop
god of the sunsets,SEB,
gold,EDEN,indie poptimism
golden hour,JVKE,modern indie pop
golden hour,hrishi,
golden years,Christian French,alt z
good 4 u,Olivia Rodrigo,pop
goosebumps,Arem Ozguc,turkish edm
hair tie,ГZI,mandopop
half alive,blackbear,pop
happiness,John K,singer-songwriter pop
happiness,Taylor Swift,pop
happy for you,Jasmine Thompson,viral pop
happysad,Josh Golden,la pop
haven,steezy prime,lo-fi study
he's not your boyfriend, he's your boy friend,175500,4.0
head first,Christian French,alt z
heaven come,Josh Golden,la pop
hey, what's up,179016,4.0
hornylovesickmess,girl in red,alt z
